vehicle_code,make,model,model_year,vehicle_class,vehicle_type,market_value_aud,manufacture_year,value_band,engine_size_band,repair_cost_band,safety_rating,theft_risk_score,theft_risk_band,risk_category,source_updated_at
VEH-00022,Subaru,Hatch-5,2008,HATCH,HATCH,52000,2008,MEDIUM,MEDIUM,LOW,5,0.721,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00023,Honda,SUV-6,2024,SUV,SUV,126000,2024,HIGH,LARGE,MEDIUM,5,0.324,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00024,Tesla,Ute-7,2023,UTE,UTE,133000,2023,HIGH,ELECTRIC,HIGH,5,0.430,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00025,Toyota,Wagon-8,2006,WAGON,WAGON,107000,2006,HIGH,SMALL,LOW,3,0.846,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00026,Mazda,Sedan-9,2016,SEDAN,SEDAN,130000,2016,HIGH,MEDIUM,MEDIUM,4,0.443,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00027,Ford,Hatch-10,2024,HATCH,HATCH,25000,2024,LOW,LARGE,HIGH,3,0.156,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00028,Hyundai,SUV-11,2010,SUV,SUV,125000,2010,HIGH,ELECTRIC,LOW,4,0.662,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00029,Kia,Ute-12,2021,UTE,UTE,120000,2021,HIGH,SMALL,MEDIUM,3,0.550,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00030,Subaru,Wagon-13,2016,WAGON,WAGON,72000,2016,MEDIUM,MEDIUM,HIGH,5,0.560,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00031,Honda,Sedan-14,2006,SEDAN,SEDAN,39000,2006,MEDIUM,LARGE,LOW,2,0.816,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00032,Tesla,Hatch-15,2013,HATCH,HATCH,65000,2013,MEDIUM,ELECTRIC,MEDIUM,2,0.159,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00033,Toyota,SUV-16,2007,SUV,SUV,30000,2007,MEDIUM,SMALL,HIGH,5,0.507,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00034,Mazda,Ute-17,2024,UTE,UTE,44000,2024,MEDIUM,MEDIUM,LOW,5,0.587,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00035,Ford,Wagon-1,2018,WAGON,WAGON,124000,2018,HIGH,LARGE,MEDIUM,4,0.155,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00036,Hyundai,Sedan-2,2021,SEDAN,SEDAN,118000,2021,HIGH,ELECTRIC,HIGH,3,0.667,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00037,Kia,Hatch-3,2015,HATCH,HATCH,68000,2015,MEDIUM,SMALL,LOW,4,0.729,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00038,Subaru,SUV-4,2007,SUV,SUV,8000,2007,LOW,MEDIUM,MEDIUM,5,0.449,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00039,Honda,Ute-5,2017,UTE,UTE,76000,2017,MEDIUM,LARGE,HIGH,4,0.313,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00040,Tesla,Wagon-6,2014,WAGON,WAGON,140000,2014,HIGH,ELECTRIC,LOW,4,0.630,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00041,Toyota,Sedan-7,2017,SEDAN,SEDAN,69000,2017,MEDIUM,SMALL,MEDIUM,4,0.680,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00042,Mazda,Hatch-8,2024,HATCH,HATCH,110000,2024,HIGH,MEDIUM,HIGH,5,0.633,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00043,Ford,SUV-9,2017,SUV,SUV,8000,2017,LOW,LARGE,LOW,3,0.839,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00044,Hyundai,Ute-10,2012,UTE,UTE,130000,2012,HIGH,ELECTRIC,MEDIUM,2,0.162,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00045,Kia,Wagon-11,2008,WAGON,WAGON,25000,2008,LOW,SMALL,HIGH,5,0.567,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00046,Subaru,Sedan-12,2013,SEDAN,SEDAN,82000,2013,HIGH,MEDIUM,LOW,4,0.147,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00047,Honda,Hatch-13,2017,HATCH,HATCH,118000,2017,HIGH,LARGE,MEDIUM,3,0.458,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00048,Tesla,SUV-14,2026,SUV,SUV,139000,2026,HIGH,ELECTRIC,HIGH,3,0.817,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00049,Toyota,Ute-15,2016,UTE,UTE,20000,2016,LOW,SMALL,LOW,5,0.308,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00050,Mazda,Wagon-16,2005,WAGON,WAGON,128000,2005,HIGH,MEDIUM,MEDIUM,3,0.752,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00051,Ford,Sedan-17,2012,SEDAN,SEDAN,59000,2012,MEDIUM,LARGE,HIGH,3,0.109,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00052,Hyundai,Hatch-1,2013,HATCH,HATCH,29000,2013,LOW,ELECTRIC,LOW,3,0.525,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00053,Kia,SUV-2,2012,SUV,SUV,90000,2012,HIGH,SMALL,MEDIUM,5,0.356,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00054,Subaru,Ute-3,2020,UTE,UTE,9000,2020,LOW,MEDIUM,HIGH,3,0.322,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00055,Honda,Wagon-4,2010,WAGON,WAGON,89000,2010,HIGH,LARGE,LOW,2,0.414,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00056,Tesla,Sedan-5,2008,SEDAN,SEDAN,127000,2008,HIGH,ELECTRIC,MEDIUM,4,0.230,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00057,Toyota,Hatch-6,2017,HATCH,HATCH,130000,2017,HIGH,SMALL,HIGH,4,0.605,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00058,Mazda,SUV-7,2010,SUV,SUV,23000,2010,LOW,MEDIUM,LOW,4,0.391,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00059,Ford,Ute-8,2011,UTE,UTE,46000,2011,MEDIUM,LARGE,MEDIUM,5,0.085,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00060,Hyundai,Wagon-9,2008,WAGON,WAGON,125000,2008,HIGH,ELECTRIC,HIGH,4,0.139,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00061,Kia,Sedan-10,2009,SEDAN,SEDAN,36000,2009,MEDIUM,SMALL,LOW,3,0.490,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00062,Subaru,Hatch-11,2021,HATCH,HATCH,111000,2021,HIGH,MEDIUM,MEDIUM,5,0.784,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00063,Honda,SUV-12,2010,SUV,SUV,132000,2010,HIGH,LARGE,HIGH,3,0.224,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00064,Tesla,Ute-13,2020,UTE,UTE,100000,2020,HIGH,ELECTRIC,LOW,4,0.162,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00065,Toyota,Wagon-14,2007,WAGON,WAGON,84000,2007,HIGH,SMALL,MEDIUM,2,0.203,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00066,Mazda,Sedan-15,2023,SEDAN,SEDAN,26000,2023,LOW,MEDIUM,HIGH,5,0.170,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00067,Ford,Hatch-16,2017,HATCH,HATCH,97000,2017,HIGH,LARGE,LOW,2,0.334,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00068,Hyundai,SUV-17,2020,SUV,SUV,108000,2020,HIGH,ELECTRIC,MEDIUM,2,0.735,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00069,Kia,Ute-1,2012,UTE,UTE,98000,2012,HIGH,SMALL,HIGH,3,0.319,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00070,Subaru,Wagon-2,2018,WAGON,WAGON,79000,2018,MEDIUM,MEDIUM,LOW,2,0.331,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00071,Honda,Sedan-3,2018,SEDAN,SEDAN,75000,2018,MEDIUM,LARGE,MEDIUM,2,0.651,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00072,Tesla,Hatch-4,2014,HATCH,HATCH,122000,2014,HIGH,ELECTRIC,HIGH,5,0.573,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00073,Toyota,SUV-5,2016,SUV,SUV,78000,2016,MEDIUM,SMALL,LOW,4,0.408,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00074,Mazda,Ute-6,2011,UTE,UTE,129000,2011,HIGH,MEDIUM,MEDIUM,4,0.778,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00075,Ford,Wagon-7,2013,WAGON,WAGON,97000,2013,HIGH,LARGE,HIGH,2,0.841,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00076,Hyundai,Sedan-8,2015,SEDAN,SEDAN,137000,2015,HIGH,ELECTRIC,LOW,2,0.703,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00077,Kia,Hatch-9,2009,HATCH,HATCH,20000,2009,LOW,SMALL,MEDIUM,5,0.165,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00078,Subaru,SUV-10,2017,SUV,SUV,97000,2017,HIGH,MEDIUM,HIGH,5,0.608,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00079,Honda,Ute-11,2016,UTE,UTE,17000,2016,LOW,LARGE,LOW,5,0.302,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00080,Tesla,Wagon-12,2007,WAGON,WAGON,64000,2007,MEDIUM,ELECTRIC,MEDIUM,3,0.251,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00081,Toyota,Sedan-13,2020,SEDAN,SEDAN,63000,2020,MEDIUM,SMALL,HIGH,3,0.586,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00082,Mazda,Hatch-14,2005,HATCH,HATCH,92000,2005,HIGH,MEDIUM,LOW,2,0.180,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00083,Ford,SUV-15,2007,SUV,SUV,101000,2007,HIGH,LARGE,MEDIUM,4,0.625,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00084,Hyundai,Ute-16,2026,UTE,UTE,129000,2026,HIGH,ELECTRIC,HIGH,3,0.443,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00085,Kia,Wagon-17,2007,WAGON,WAGON,46000,2007,MEDIUM,SMALL,LOW,3,0.806,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00086,Subaru,Sedan-1,2024,SEDAN,SEDAN,57000,2024,MEDIUM,MEDIUM,MEDIUM,3,0.205,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00087,Honda,Hatch-2,2009,HATCH,HATCH,31000,2009,MEDIUM,LARGE,HIGH,4,0.709,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00088,Tesla,SUV-3,2018,SUV,SUV,123000,2018,HIGH,ELECTRIC,LOW,4,0.224,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00089,Toyota,Ute-4,2005,UTE,UTE,12000,2005,LOW,SMALL,MEDIUM,5,0.647,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00090,Mazda,Wagon-5,2018,WAGON,WAGON,26000,2018,LOW,MEDIUM,HIGH,2,0.340,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00091,Ford,Sedan-6,2021,SEDAN,SEDAN,22000,2021,LOW,LARGE,LOW,5,0.840,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00092,Hyundai,Hatch-7,2022,HATCH,HATCH,138000,2022,HIGH,ELECTRIC,MEDIUM,2,0.859,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00093,Kia,SUV-8,2016,SUV,SUV,92000,2016,HIGH,SMALL,HIGH,4,0.416,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00094,Subaru,Ute-9,2013,UTE,UTE,17000,2013,LOW,MEDIUM,LOW,4,0.770,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00095,Honda,Wagon-10,2006,WAGON,WAGON,19000,2006,LOW,LARGE,MEDIUM,5,0.066,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00096,Tesla,Sedan-11,2007,SEDAN,SEDAN,135000,2007,HIGH,ELECTRIC,HIGH,3,0.676,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00097,Toyota,Hatch-12,2005,HATCH,HATCH,31000,2005,MEDIUM,SMALL,LOW,5,0.515,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00098,Mazda,SUV-13,2016,SUV,SUV,32000,2016,MEDIUM,MEDIUM,MEDIUM,2,0.503,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00099,Ford,Ute-14,2018,UTE,UTE,29000,2018,LOW,LARGE,HIGH,3,0.595,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00100,Hyundai,Wagon-15,2021,WAGON,WAGON,62000,2021,MEDIUM,ELECTRIC,LOW,4,0.426,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00101,Kia,Sedan-16,2020,SEDAN,SEDAN,93000,2020,HIGH,SMALL,MEDIUM,2,0.435,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00102,Subaru,Hatch-17,2022,HATCH,HATCH,130000,2022,HIGH,MEDIUM,HIGH,3,0.497,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00103,Honda,SUV-1,2010,SUV,SUV,114000,2010,HIGH,LARGE,LOW,3,0.217,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00104,Tesla,Ute-2,2006,UTE,UTE,21000,2006,LOW,ELECTRIC,MEDIUM,5,0.831,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00105,Toyota,Wagon-3,2017,WAGON,WAGON,110000,2017,HIGH,SMALL,HIGH,4,0.538,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00106,Mazda,Sedan-4,2021,SEDAN,SEDAN,101000,2021,HIGH,MEDIUM,LOW,3,0.608,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00107,Ford,Hatch-5,2018,HATCH,HATCH,90000,2018,HIGH,LARGE,MEDIUM,3,0.182,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00108,Hyundai,SUV-6,2013,SUV,SUV,80000,2013,HIGH,ELECTRIC,HIGH,2,0.667,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00109,Kia,Ute-7,2009,UTE,UTE,98000,2009,HIGH,SMALL,LOW,2,0.829,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00110,Subaru,Wagon-8,2009,WAGON,WAGON,21000,2009,LOW,MEDIUM,MEDIUM,3,0.342,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00111,Honda,Sedan-9,2019,SEDAN,SEDAN,50000,2019,MEDIUM,LARGE,HIGH,3,0.506,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00112,Tesla,Hatch-10,2020,HATCH,HATCH,80000,2020,HIGH,ELECTRIC,LOW,2,0.796,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00113,Toyota,SUV-11,2022,SUV,SUV,126000,2022,HIGH,SMALL,MEDIUM,4,0.174,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00114,Mazda,Ute-12,2012,UTE,UTE,123000,2012,HIGH,MEDIUM,HIGH,2,0.724,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00115,Ford,Wagon-13,2020,WAGON,WAGON,134000,2020,HIGH,LARGE,LOW,3,0.320,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00116,Hyundai,Sedan-14,2009,SEDAN,SEDAN,85000,2009,HIGH,ELECTRIC,MEDIUM,4,0.100,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00117,Kia,Hatch-15,2016,HATCH,HATCH,68000,2016,MEDIUM,SMALL,HIGH,2,0.133,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00118,Subaru,SUV-16,2021,SUV,SUV,106000,2021,HIGH,MEDIUM,LOW,2,0.230,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00119,Honda,Ute-17,2010,UTE,UTE,80000,2010,HIGH,LARGE,MEDIUM,5,0.874,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00120,Tesla,Wagon-1,2009,WAGON,WAGON,35000,2009,MEDIUM,ELECTRIC,HIGH,5,0.091,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00121,Toyota,Sedan-2,2007,SEDAN,SEDAN,82000,2007,HIGH,SMALL,LOW,4,0.079,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00122,Mazda,Hatch-3,2011,HATCH,HATCH,116000,2011,HIGH,MEDIUM,MEDIUM,2,0.216,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00123,Ford,SUV-4,2005,SUV,SUV,27000,2005,LOW,LARGE,HIGH,3,0.501,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00124,Hyundai,Ute-5,2022,UTE,UTE,98000,2022,HIGH,ELECTRIC,LOW,4,0.671,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00125,Kia,Wagon-6,2019,WAGON,WAGON,44000,2019,MEDIUM,SMALL,MEDIUM,3,0.796,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00126,Subaru,Sedan-7,2015,SEDAN,SEDAN,80000,2015,HIGH,MEDIUM,HIGH,4,0.439,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00127,Honda,Hatch-8,2012,HATCH,HATCH,29000,2012,LOW,LARGE,LOW,2,0.749,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00128,Tesla,SUV-9,2017,SUV,SUV,53000,2017,MEDIUM,ELECTRIC,MEDIUM,2,0.332,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00129,Toyota,Ute-10,2019,UTE,UTE,17000,2019,LOW,SMALL,HIGH,5,0.285,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00130,Mazda,Wagon-11,2012,WAGON,WAGON,76000,2012,MEDIUM,MEDIUM,LOW,5,0.472,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00131,Ford,Sedan-12,2020,SEDAN,SEDAN,138000,2020,HIGH,LARGE,MEDIUM,5,0.150,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00132,Hyundai,Hatch-13,2010,HATCH,HATCH,79000,2010,MEDIUM,ELECTRIC,HIGH,3,0.383,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00133,Kia,SUV-14,2016,SUV,SUV,117000,2016,HIGH,SMALL,LOW,2,0.100,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00134,Subaru,Ute-15,2019,UTE,UTE,60000,2019,MEDIUM,MEDIUM,MEDIUM,4,0.166,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00135,Honda,Wagon-16,2024,WAGON,WAGON,128000,2024,HIGH,LARGE,HIGH,4,0.170,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00136,Tesla,Sedan-17,2015,SEDAN,SEDAN,87000,2015,HIGH,ELECTRIC,LOW,3,0.171,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00137,Toyota,Hatch-1,2025,HATCH,HATCH,70000,2025,MEDIUM,SMALL,MEDIUM,5,0.719,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00138,Mazda,SUV-2,2022,SUV,SUV,113000,2022,HIGH,MEDIUM,HIGH,5,0.454,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00139,Ford,Ute-3,2006,UTE,UTE,21000,2006,LOW,LARGE,LOW,4,0.887,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00140,Hyundai,Wagon-4,2005,WAGON,WAGON,29000,2005,LOW,ELECTRIC,MEDIUM,5,0.524,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00141,Kia,Sedan-5,2009,SEDAN,SEDAN,32000,2009,MEDIUM,SMALL,HIGH,3,0.210,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00142,Subaru,Hatch-6,2008,HATCH,HATCH,111000,2008,HIGH,MEDIUM,LOW,2,0.110,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00143,Honda,SUV-7,2006,SUV,SUV,18000,2006,LOW,LARGE,MEDIUM,5,0.170,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00144,Tesla,Ute-8,2006,UTE,UTE,96000,2006,HIGH,ELECTRIC,HIGH,5,0.321,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00145,Toyota,Wagon-9,2026,WAGON,WAGON,82000,2026,HIGH,SMALL,LOW,2,0.810,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00146,Mazda,Sedan-10,2020,SEDAN,SEDAN,82000,2020,HIGH,MEDIUM,MEDIUM,3,0.594,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00147,Ford,Hatch-11,2019,HATCH,HATCH,107000,2019,HIGH,LARGE,HIGH,3,0.407,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00148,Hyundai,SUV-12,2005,SUV,SUV,67000,2005,MEDIUM,ELECTRIC,LOW,4,0.813,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00149,Kia,Ute-13,2006,UTE,UTE,115000,2006,HIGH,SMALL,MEDIUM,5,0.783,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00150,Subaru,Wagon-14,2013,WAGON,WAGON,59000,2013,MEDIUM,MEDIUM,HIGH,2,0.319,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00151,Honda,Sedan-15,2011,SEDAN,SEDAN,40000,2011,MEDIUM,LARGE,LOW,4,0.234,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00152,Tesla,Hatch-16,2016,HATCH,HATCH,58000,2016,MEDIUM,ELECTRIC,MEDIUM,5,0.713,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00153,Toyota,SUV-17,2011,SUV,SUV,123000,2011,HIGH,SMALL,HIGH,5,0.427,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00154,Mazda,Ute-1,2026,UTE,UTE,87000,2026,HIGH,MEDIUM,LOW,2,0.498,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00155,Ford,Wagon-2,2023,WAGON,WAGON,15000,2023,LOW,LARGE,MEDIUM,4,0.806,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
VEH-00156,Hyundai,Sedan-3,2018,SEDAN,SEDAN,94000,2018,HIGH,ELECTRIC,HIGH,2,0.518,HIGH,SPECIALIST,2026-08-01T00:00:00Z
VEH-00157,Kia,Hatch-4,2026,HATCH,HATCH,109000,2026,HIGH,SMALL,LOW,2,0.087,LOW,STANDARD,2026-08-01T00:00:00Z
VEH-00158,Subaru,SUV-5,2007,SUV,SUV,72000,2007,MEDIUM,MEDIUM,MEDIUM,4,0.645,MEDIUM,ELEVATED,2026-08-01T00:00:00Z
