broker_id,broker_code,broker_name,branch_id,broker_status,commission_rate,years_experience,broker_tier,active_flag,effective_date,source_updated_at
brk_2039,BKR-0039,Synthetic Broker 039,brn_1019,ACTIVE,0.1442,12,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2040,BKR-0040,Synthetic Broker 040,brn_1020,ACTIVE,0.0399,3,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2041,BKR-0041,Synthetic Broker 041,brn_1001,ACTIVE,0.0823,3,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2042,BKR-0042,Synthetic Broker 042,brn_1002,ACTIVE,0.1111,9,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2043,BKR-0043,Synthetic Broker 043,brn_1003,ACTIVE,0.1242,9,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2044,BKR-0044,Synthetic Broker 044,brn_1004,ACTIVE,0.0501,10,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2045,BKR-0045,Synthetic Broker 045,brn_1005,ACTIVE,0.0766,22,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2046,BKR-0046,Synthetic Broker 046,brn_1006,ACTIVE,0.1131,3,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2047,BKR-0047,Synthetic Broker 047,brn_1007,ACTIVE,0.0389,13,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2048,BKR-0048,Synthetic Broker 048,brn_1008,ACTIVE,0.0751,2,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2049,BKR-0049,Synthetic Broker 049,brn_1009,ACTIVE,0.1435,22,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2050,BKR-0050,Synthetic Broker 050,brn_1010,ACTIVE,0.0872,17,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2051,BKR-0051,Synthetic Broker 051,brn_1011,ACTIVE,0.0830,6,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2052,BKR-0052,Synthetic Broker 052,brn_1012,ACTIVE,0.0757,10,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2053,BKR-0053,Synthetic Broker 053,brn_1013,ACTIVE,0.1307,27,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2054,BKR-0054,Synthetic Broker 054,brn_1014,ACTIVE,0.1376,28,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2055,BKR-0055,Synthetic Broker 055,brn_1015,ACTIVE,0.0557,1,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2056,BKR-0056,Synthetic Broker 056,brn_1016,ACTIVE,0.0412,27,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2057,BKR-0057,Synthetic Broker 057,brn_1017,ACTIVE,0.0471,16,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2058,BKR-0058,Synthetic Broker 058,brn_1018,ACTIVE,0.0386,17,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2059,BKR-0059,Synthetic Broker 059,brn_1019,ACTIVE,0.0930,21,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2060,BKR-0060,Synthetic Broker 060,brn_1020,ACTIVE,0.0611,25,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2061,BKR-0061,Synthetic Broker 061,brn_1001,ACTIVE,0.1127,13,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2062,BKR-0062,Synthetic Broker 062,brn_1002,ACTIVE,0.0816,20,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2063,BKR-0063,Synthetic Broker 063,brn_1003,ACTIVE,0.0557,24,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2064,BKR-0064,Synthetic Broker 064,brn_1004,ACTIVE,0.1196,4,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2065,BKR-0065,Synthetic Broker 065,brn_1005,ACTIVE,0.0423,27,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2066,BKR-0066,Synthetic Broker 066,brn_1006,ACTIVE,0.0779,17,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2067,BKR-0067,Synthetic Broker 067,brn_1007,ACTIVE,0.0646,18,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2068,BKR-0068,Synthetic Broker 068,brn_1008,ACTIVE,0.0520,16,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2069,BKR-0069,Synthetic Broker 069,brn_1009,ACTIVE,0.1435,3,BRONZE,1,2026-01-01,2026-08-01T00:00:00Z
brk_2070,BKR-0070,Synthetic Broker 070,brn_1010,ACTIVE,0.0872,23,SILVER,1,2026-01-01,2026-08-01T00:00:00Z
brk_2071,BKR-0071,Synthetic Broker 071,brn_1011,ACTIVE,0.0876,25,GOLD,1,2026-01-01,2026-08-01T00:00:00Z
brk_2072,BKR-0072,Synthetic Broker 072,brn_1012,ACTIVE,0.0749,9,PLATINUM,1,2026-01-01,2026-08-01T00:00:00Z
brk_2073,BKR-0073,Synthetic Broker 073,brn_1013,INACTIVE,0.0637,20,BRONZE,0,2026-01-01,2026-08-01T00:00:00Z
brk_2074,BKR-0074,Synthetic Broker 074,brn_1014,INACTIVE,0.1136,3,SILVER,0,2026-01-01,2026-08-01T00:00:00Z
brk_2075,BKR-0075,Synthetic Broker 075,brn_1015,INACTIVE,0.1049,6,GOLD,0,2026-01-01,2026-08-01T00:00:00Z
brk_2076,BKR-0076,Synthetic Broker 076,brn_1016,INACTIVE,0.1062,5,PLATINUM,0,2026-01-01,2026-08-01T00:00:00Z
brk_2077,BKR-0077,Synthetic Broker 077,brn_1017,INACTIVE,0.0641,11,BRONZE,0,2026-01-01,2026-08-01T00:00:00Z
brk_2078,BKR-0078,Synthetic Broker 078,brn_1018,INACTIVE,0.1004,6,SILVER,0,2026-01-01,2026-08-01T00:00:00Z
brk_2079,BKR-0079,Synthetic Broker 079,brn_1019,INACTIVE,0.0482,2,GOLD,0,2026-01-01,2026-08-01T00:00:00Z
brk_2080,BKR-0080,Synthetic Broker 080,brn_1020,INACTIVE,0.0889,2,PLATINUM,0,2026-01-01,2026-08-01T00:00:00Z
