claim_id,claim_number,policy_id,customer_id,claim_status,incident_date,submitted_at,claim_amount,approved_amount,currency_code,description,updated_at,broker_id,claim_type_id,claim_type_code,incident_region_code,coverage_code,vehicle_code,outcome_severity,high_risk_claim
fclm_900053,FILE-CLM-900053,pol_6002,cus_4002,PAID,2026-08-22,2026-09-05T13:52:00Z,6155.00,4492.87,AUD,Synthetic auto claim 53,2026-09-05T14:52:00Z,brk_2002,cty_3005,AU-COL-05,REG-005,COV-AU-005,VEH-00038,STANDARD,0
fclm_900054,FILE-CLM-900054,pol_6003,cus_4003,CLOSED,2026-08-23,2026-09-06T14:53:00Z,2782.64,1777.24,AUD,Synthetic home claim 54,2026-09-06T15:53:00Z,brk_2003,cty_3010,HO-THE-10,REG-012,COV-HO-010,,STANDARD,0
fclm_900055,FILE-CLM-900055,pol_6001,cus_4001,SUBMITTED,2026-08-24,2026-09-07T15:54:00Z,23462.33,,AUD,Synthetic home claim 55,2026-09-07T16:54:00Z,brk_2001,cty_3002,HO-THE-02,REG-019,COV-HO-002,,HIGH,1
fclm_900056,FILE-CLM-900056,pol_6002,cus_4002,UNDER_REVIEW,2026-08-25,2026-09-08T16:55:00Z,13511.27,,AUD,Synthetic auto claim 56,2026-09-08T17:55:00Z,brk_2002,cty_3005,AU-COL-05,REG-026,COV-AU-005,VEH-00038,STANDARD,0
fclm_900057,FILE-CLM-900057,pol_6003,cus_4003,APPROVED,2026-08-26,2026-09-01T09:56:00Z,8926.67,3820.43,AUD,Synthetic home claim 57,2026-09-01T10:56:00Z,brk_2003,cty_3010,HO-THE-10,REG-033,COV-HO-010,,STANDARD,0
fclm_900058,FILE-CLM-900058,pol_6001,cus_4001,REJECTED,2026-08-27,2026-09-02T10:57:00Z,21167.57,8935.65,AUD,Synthetic home claim 58,2026-09-02T11:57:00Z,brk_2001,cty_3002,HO-THE-02,REG-040,COV-HO-002,,STANDARD,0
fclm_900059,FILE-CLM-900059,pol_6002,cus_4002,PAID,2026-08-28,2026-09-03T11:58:00Z,15225.16,11473.84,AUD,Synthetic auto claim 59,2026-09-03T12:58:00Z,brk_2002,cty_3005,AU-COL-05,REG-007,COV-AU-005,VEH-00038,STANDARD,0
fclm_900060,FILE-CLM-900060,pol_6003,cus_4003,CLOSED,2026-08-29,2026-09-04T12:59:00Z,23359.13,11544.60,AUD,Synthetic home claim 60,2026-09-04T13:59:00Z,brk_2003,cty_3010,HO-THE-10,REG-014,COV-HO-010,,STANDARD,0
fclm_900061,FILE-CLM-900061,pol_6001,cus_4001,SUBMITTED,2026-08-20,2026-09-05T13:00:00Z,4025.81,,AUD,Synthetic home claim 61,2026-09-05T14:00:00Z,brk_2001,cty_3002,HO-THE-02,REG-021,COV-HO-002,,STANDARD,0
fclm_900062,FILE-CLM-900062,pol_6002,cus_4002,UNDER_REVIEW,2026-08-21,2026-09-06T14:01:00Z,11249.73,,AUD,Synthetic auto claim 62,2026-09-06T15:01:00Z,brk_2002,cty_3005,AU-COL-05,REG-028,COV-AU-005,VEH-00038,STANDARD,0
fclm_900063,FILE-CLM-900063,pol_6003,cus_4003,APPROVED,2026-08-22,2026-09-07T15:02:00Z,29163.71,23555.07,AUD,Synthetic home claim 63,2026-09-07T16:02:00Z,brk_2003,cty_3010,HO-THE-10,REG-035,COV-HO-010,,HIGH,1
fclm_900064,FILE-CLM-900064,pol_6001,cus_4001,REJECTED,2026-08-23,2026-09-08T16:03:00Z,4644.22,1911.77,AUD,Synthetic home claim 64,2026-09-08T17:03:00Z,brk_2001,cty_3002,HO-THE-02,REG-002,COV-HO-002,,HIGH,1
fclm_900065,FILE-CLM-900065,pol_6002,cus_4002,PAID,2026-08-24,2026-09-01T09:04:00Z,9753.00,4292.54,AUD,Synthetic auto claim 65,2026-09-01T10:04:00Z,brk_2002,cty_3005,AU-COL-05,REG-009,COV-AU-005,VEH-00038,STANDARD,0
fclm_900066,FILE-CLM-900066,pol_6003,cus_4003,CLOSED,2026-08-25,2026-09-02T10:05:00Z,3922.80,3827.22,AUD,Synthetic home claim 66,2026-09-02T11:05:00Z,brk_2003,cty_3010,HO-THE-10,REG-016,COV-HO-010,,STANDARD,0
fclm_900067,FILE-CLM-900067,pol_6001,cus_4001,SUBMITTED,2026-08-26,2026-09-03T11:06:00Z,36994.10,,AUD,Synthetic home claim 67,2026-09-03T12:06:00Z,brk_2001,cty_3002,HO-THE-02,REG-023,COV-HO-002,,STANDARD,0
fclm_900068,FILE-CLM-900068,pol_6002,cus_4002,UNDER_REVIEW,2026-08-27,2026-09-04T12:07:00Z,46129.60,,AUD,Synthetic auto claim 68,2026-09-04T13:07:00Z,brk_2002,cty_3005,AU-COL-05,REG-030,COV-AU-005,VEH-00038,STANDARD,0
fclm_900069,FILE-CLM-900069,pol_6003,cus_4003,APPROVED,2026-08-28,2026-09-05T13:08:00Z,5947.87,4344.23,AUD,Synthetic home claim 69,2026-09-05T14:08:00Z,brk_2003,cty_3010,HO-THE-10,REG-037,COV-HO-010,,STANDARD,0
fclm_900070,FILE-CLM-900070,pol_6001,cus_4001,REJECTED,2026-08-29,2026-09-06T14:09:00Z,34984.15,23009.78,AUD,Synthetic home claim 70,2026-09-06T15:09:00Z,brk_2001,cty_3002,HO-THE-02,REG-004,COV-HO-002,,STANDARD,0
fclm_900071,FILE-CLM-900071,pol_6002,cus_4002,PAID,2026-08-20,2026-09-07T15:10:00Z,35050.30,17210.32,AUD,Synthetic auto claim 71,2026-09-07T16:10:00Z,brk_2002,cty_3005,AU-COL-05,REG-011,COV-AU-005,VEH-00038,HIGH,1
fclm_900072,FILE-CLM-900072,pol_6003,cus_4003,CLOSED,2026-08-21,2026-09-08T16:11:00Z,4459.25,2609.16,AUD,Synthetic home claim 72,2026-09-08T17:11:00Z,brk_2003,cty_3010,HO-THE-10,REG-018,COV-HO-010,,STANDARD,0
fclm_900073,FILE-CLM-900073,pol_6001,cus_4001,SUBMITTED,2026-08-22,2026-09-01T09:12:00Z,8769.51,,AUD,Synthetic home claim 73,2026-09-01T10:12:00Z,brk_2001,cty_3002,HO-THE-02,REG-025,COV-HO-002,,STANDARD,0
fclm_900074,FILE-CLM-900074,pol_6002,cus_4002,UNDER_REVIEW,2026-08-23,2026-09-02T10:13:00Z,32863.63,,AUD,Synthetic auto claim 74,2026-09-02T11:13:00Z,brk_2002,cty_3005,AU-COL-05,REG-032,COV-AU-005,VEH-00038,HIGH,1
fclm_900075,FILE-CLM-900075,pol_6003,cus_4003,APPROVED,2026-08-24,2026-09-03T11:14:00Z,39220.40,25902.50,AUD,Synthetic home claim 75,2026-09-03T12:14:00Z,brk_2003,cty_3010,HO-THE-10,REG-039,COV-HO-010,,STANDARD,0
fclm_900076,FILE-CLM-900076,pol_6001,cus_4001,REJECTED,2026-08-25,2026-09-04T12:15:00Z,18226.04,10134.19,AUD,Synthetic home claim 76,2026-09-04T13:15:00Z,brk_2001,cty_3002,HO-THE-02,REG-006,COV-HO-002,,HIGH,1
fclm_900077,FILE-CLM-900077,pol_6002,cus_4002,PAID,2026-08-26,2026-09-05T13:16:00Z,22198.59,10425.81,AUD,Synthetic auto claim 77,2026-09-05T14:16:00Z,brk_2002,cty_3005,AU-COL-05,REG-013,COV-AU-005,VEH-00038,STANDARD,0
fclm_900078,FILE-CLM-900078,pol_6003,cus_4003,CLOSED,2026-08-27,2026-09-06T14:17:00Z,33496.34,31722.33,AUD,Synthetic home claim 78,2026-09-06T15:17:00Z,brk_2003,cty_3010,HO-THE-10,REG-020,COV-HO-010,,HIGH,1
fclm_900079,FILE-CLM-900079,pol_6001,cus_4001,SUBMITTED,2026-08-28,2026-09-07T15:18:00Z,7412.07,,AUD,Synthetic home claim 79,2026-09-07T16:18:00Z,brk_2001,cty_3002,HO-THE-02,REG-027,COV-HO-002,,STANDARD,0
fclm_900080,FILE-CLM-900080,pol_6002,cus_4002,UNDER_REVIEW,2026-08-29,2026-09-08T16:19:00Z,17509.29,,AUD,Synthetic auto claim 80,2026-09-08T17:19:00Z,brk_2002,cty_3005,AU-COL-05,REG-034,COV-AU-005,VEH-00038,STANDARD,0
fclm_900081,FILE-CLM-900081,pol_6003,cus_4003,APPROVED,2026-08-20,2026-09-01T09:20:00Z,57120.81,54035.00,AUD,Synthetic home claim 81,2026-09-01T10:20:00Z,brk_2003,cty_3010,HO-THE-10,REG-001,COV-HO-010,,HIGH,1
fclm_900082,FILE-CLM-900082,pol_6001,cus_4001,REJECTED,2026-08-21,2026-09-02T10:21:00Z,23280.52,13008.47,AUD,Synthetic home claim 82,2026-09-02T11:21:00Z,brk_2001,cty_3002,HO-THE-02,REG-008,COV-HO-002,,STANDARD,0
fclm_900083,FILE-CLM-900083,pol_6002,cus_4002,PAID,2026-08-22,2026-09-03T11:22:00Z,33150.82,30714.39,AUD,Synthetic auto claim 83,2026-09-03T12:22:00Z,brk_2002,cty_3005,AU-COL-05,REG-015,COV-AU-005,VEH-00038,HIGH,1
fclm_900084,FILE-CLM-900084,pol_6003,cus_4003,CLOSED,2026-08-23,2026-09-04T12:23:00Z,8801.24,8160.02,AUD,Synthetic home claim 84,2026-09-04T13:23:00Z,brk_2003,cty_3010,HO-THE-10,REG-022,COV-HO-010,,STANDARD,0
fclm_900085,FILE-CLM-900085,pol_6001,cus_4001,SUBMITTED,2026-08-24,2026-09-05T13:24:00Z,21731.84,,AUD,Synthetic home claim 85,2026-09-05T14:24:00Z,brk_2001,cty_3002,HO-THE-02,REG-029,COV-HO-002,,STANDARD,0
fclm_900086,FILE-CLM-900086,pol_6002,cus_4002,UNDER_REVIEW,2026-08-25,2026-09-06T14:25:00Z,24255.61,,AUD,Synthetic auto claim 86,2026-09-06T15:25:00Z,brk_2002,cty_3005,AU-COL-05,REG-036,COV-AU-005,VEH-00038,HIGH,1
fclm_900087,FILE-CLM-900087,pol_6003,cus_4003,APPROVED,2026-08-26,2026-09-07T15:26:00Z,13525.15,9298.46,AUD,Synthetic home claim 87,2026-09-07T16:26:00Z,brk_2003,cty_3010,HO-THE-10,REG-003,COV-HO-010,,STANDARD,0
fclm_900088,FILE-CLM-900088,pol_6001,cus_4001,REJECTED,2026-08-27,2026-09-08T16:27:00Z,38455.82,29012.10,AUD,Synthetic home claim 88,2026-09-08T17:27:00Z,brk_2001,cty_3002,HO-THE-02,REG-010,COV-HO-002,,HIGH,1
fclm_900089,FILE-CLM-900089,pol_6002,cus_4002,PAID,2026-08-28,2026-09-01T09:28:00Z,39703.81,15803.78,AUD,Synthetic auto claim 89,2026-09-01T10:28:00Z,brk_2002,cty_3005,AU-COL-05,REG-017,COV-AU-005,VEH-00038,STANDARD,0
fclm_900090,FILE-CLM-900090,pol_6003,cus_4003,CLOSED,2026-08-29,2026-09-02T10:29:00Z,7527.48,5111.17,AUD,Synthetic home claim 90,2026-09-02T11:29:00Z,brk_2003,cty_3010,HO-THE-10,REG-024,COV-HO-010,,STANDARD,0
fclm_900091,FILE-CLM-900091,pol_6001,cus_4001,SUBMITTED,2026-08-20,2026-09-03T11:30:00Z,28744.98,,AUD,Synthetic home claim 91,2026-09-03T12:30:00Z,brk_2001,cty_3002,HO-THE-02,REG-031,COV-HO-002,,HIGH,1
fclm_900092,FILE-CLM-900092,pol_6002,cus_4002,UNDER_REVIEW,2026-08-21,2026-09-04T12:31:00Z,4577.64,,AUD,Synthetic auto claim 92,2026-09-04T13:31:00Z,brk_2002,cty_3005,AU-COL-05,REG-038,COV-AU-005,VEH-00038,STANDARD,0
fclm_900093,FILE-CLM-900093,pol_6003,cus_4003,APPROVED,2026-08-22,2026-09-05T13:32:00Z,26557.66,12602.37,AUD,Synthetic home claim 93,2026-09-05T14:32:00Z,brk_2003,cty_3010,HO-THE-10,REG-005,COV-HO-010,,STANDARD,0
fclm_900094,FILE-CLM-900094,pol_6001,cus_4001,REJECTED,2026-08-23,2026-09-06T14:33:00Z,3419.49,2835.61,AUD,Synthetic home claim 94,2026-09-06T15:33:00Z,brk_2001,cty_3002,HO-THE-02,REG-012,COV-HO-002,,STANDARD,0
fclm_900095,FILE-CLM-900095,pol_6002,cus_4002,PAID,2026-08-24,2026-09-07T15:34:00Z,40742.78,36362.89,AUD,Synthetic auto claim 95,2026-09-07T16:34:00Z,brk_2002,cty_3005,AU-COL-05,REG-019,COV-AU-005,VEH-00038,STANDARD,0
fclm_900096,FILE-CLM-900096,pol_6003,cus_4003,CLOSED,2026-08-25,2026-09-08T16:35:00Z,8344.71,4693.90,AUD,Synthetic home claim 96,2026-09-08T17:35:00Z,brk_2003,cty_3010,HO-THE-10,REG-026,COV-HO-010,,STANDARD,0
fclm_900097,FILE-CLM-900097,pol_6001,cus_4001,SUBMITTED,2026-08-26,2026-09-01T09:36:00Z,10086.21,,AUD,Synthetic home claim 97,2026-09-01T10:36:00Z,brk_2001,cty_3002,HO-THE-02,REG-033,COV-HO-002,,HIGH,1
